workout_name,primary_activity,training_format,intensity_level,equipment_required,primary_goal,typical_duration,work_rest_structure
Running - Steady State,Running,Steady State,Low,Treadmill,Cardiovascular Endurance,11 minutes,21 sec work / 11 sec rest
Running - Steady State,Running,Steady State,Moderate,Bike,Athletic Conditioning,12 minutes,22 sec work / 12 sec rest
Running - Steady State,Running,Steady State,High,Rower,VO2 Max,13 minutes,23 sec work / 13 sec rest
Running - Steady State,Running,Steady State,Very High,Kettlebell,Metabolic Conditioning,14 minutes,24 sec work / 14 sec rest
Running - Intervals,Running,Intervals,Low,Dumbbell,Fat Loss,15 minutes,25 sec work / 15 sec rest
Running - Intervals,Running,Intervals,Moderate,Medicine Ball,Cardiovascular Endurance,16 minutes,26 sec work / 16 sec rest
Running - Intervals,Running,Intervals,High,Battle Rope,Athletic Conditioning,17 minutes,27 sec work / 17 sec rest
Running - Intervals,Running,Intervals,Very High,,VO2 Max,18 minutes,28 sec work / 18 sec rest
Running - HIIT,Running,HIIT,Low,Treadmill,Metabolic Conditioning,19 minutes,29 sec work / 19 sec rest
Running - HIIT,Running,HIIT,Moderate,Bike,Fat Loss,20 minutes,30 sec work / 20 sec rest
Running - HIIT,Running,HIIT,High,Rower,Cardiovascular Endurance,21 minutes,31 sec work / 21 sec rest
Running - HIIT,Running,HIIT,Very High,Kettlebell,Athletic Conditioning,22 minutes,32 sec work / 22 sec rest
Running - EMOM,Running,EMOM,Low,Dumbbell,VO2 Max,23 minutes,33 sec work / 23 sec rest
Running - EMOM,Running,EMOM,Moderate,Medicine Ball,Metabolic Conditioning,24 minutes,34 sec work / 24 sec rest
Running - EMOM,Running,EMOM,High,Battle Rope,Fat Loss,25 minutes,35 sec work / 25 sec rest
Running - EMOM,Running,EMOM,Very High,,Cardiovascular Endurance,26 minutes,36 sec work / 26 sec rest
Running - AMRAP,Running,AMRAP,Low,Treadmill,Athletic Conditioning,27 minutes,37 sec work / 27 sec rest
Running - AMRAP,Running,AMRAP,Moderate,Bike,VO2 Max,28 minutes,38 sec work / 28 sec rest
Running - AMRAP,Running,AMRAP,High,Rower,Metabolic Conditioning,29 minutes,39 sec work / 29 sec rest
Running - AMRAP,Running,AMRAP,Very High,Kettlebell,Fat Loss,30 minutes,40 sec work / 30 sec rest
Running - Circuit,Running,Circuit,Low,Dumbbell,Cardiovascular Endurance,31 minutes,41 sec work / 31 sec rest
Running - Circuit,Running,Circuit,Moderate,Medicine Ball,Athletic Conditioning,32 minutes,42 sec work / 32 sec rest
Running - Circuit,Running,Circuit,High,Battle Rope,VO2 Max,33 minutes,43 sec work / 33 sec rest
Running - Circuit,Running,Circuit,Very High,,Metabolic Conditioning,34 minutes,44 sec work / 34 sec rest
Cycling - Steady State,Cycling,Steady State,Low,Treadmill,Fat Loss,35 minutes,45 sec work / 35 sec rest
Cycling - Steady State,Cycling,Steady State,Moderate,Bike,Cardiovascular Endurance,36 minutes,46 sec work / 36 sec rest
Cycling - Steady State,Cycling,Steady State,High,Rower,Athletic Conditioning,37 minutes,47 sec work / 37 sec rest
Cycling - Steady State,Cycling,Steady State,Very High,Kettlebell,VO2 Max,38 minutes,48 sec work / 38 sec rest
Cycling - Intervals,Cycling,Intervals,Low,Dumbbell,Metabolic Conditioning,39 minutes,49 sec work / 39 sec rest
Cycling - Intervals,Cycling,Intervals,Moderate,Medicine Ball,Fat Loss,40 minutes,50 sec work / 10 sec rest
Cycling - Intervals,Cycling,Intervals,High,Battle Rope,Cardiovascular Endurance,41 minutes,51 sec work / 11 sec rest
Cycling - Intervals,Cycling,Intervals,Very High,,Athletic Conditioning,42 minutes,52 sec work / 12 sec rest
Cycling - HIIT,Cycling,HIIT,Low,Treadmill,VO2 Max,43 minutes,53 sec work / 13 sec rest
Cycling - HIIT,Cycling,HIIT,Moderate,Bike,Metabolic Conditioning,44 minutes,54 sec work / 14 sec rest
Cycling - HIIT,Cycling,HIIT,High,Rower,Fat Loss,45 minutes,55 sec work / 15 sec rest
Cycling - HIIT,Cycling,HIIT,Very High,Kettlebell,Cardiovascular Endurance,46 minutes,56 sec work / 16 sec rest
Cycling - EMOM,Cycling,EMOM,Low,Dumbbell,Athletic Conditioning,47 minutes,57 sec work / 17 sec rest
Cycling - EMOM,Cycling,EMOM,Moderate,Medicine Ball,VO2 Max,48 minutes,58 sec work / 18 sec rest
Cycling - EMOM,Cycling,EMOM,High,Battle Rope,Metabolic Conditioning,49 minutes,59 sec work / 19 sec rest
Cycling - EMOM,Cycling,EMOM,Very High,,Fat Loss,10 minutes,20 sec work / 20 sec rest
Cycling - AMRAP,Cycling,AMRAP,Low,Treadmill,Cardiovascular Endurance,11 minutes,21 sec work / 21 sec rest
Cycling - AMRAP,Cycling,AMRAP,Moderate,Bike,Athletic Conditioning,12 minutes,22 sec work / 22 sec rest
Cycling - AMRAP,Cycling,AMRAP,High,Rower,VO2 Max,13 minutes,23 sec work / 23 sec rest
Cycling - AMRAP,Cycling,AMRAP,Very High,Kettlebell,Metabolic Conditioning,14 minutes,24 sec work / 24 sec rest
Cycling - Circuit,Cycling,Circuit,Low,Dumbbell,Fat Loss,15 minutes,25 sec work / 25 sec rest
Cycling - Circuit,Cycling,Circuit,Moderate,Medicine Ball,Cardiovascular Endurance,16 minutes,26 sec work / 26 sec rest
Cycling - Circuit,Cycling,Circuit,High,Battle Rope,Athletic Conditioning,17 minutes,27 sec work / 27 sec rest
Cycling - Circuit,Cycling,Circuit,Very High,,VO2 Max,18 minutes,28 sec work / 28 sec rest
Rowing - Steady State,Rowing,Steady State,Low,Treadmill,Metabolic Conditioning,19 minutes,29 sec work / 29 sec rest
Rowing - Steady State,Rowing,Steady State,Moderate,Bike,Fat Loss,20 minutes,30 sec work / 30 sec rest
Rowing - Steady State,Rowing,Steady State,High,Rower,Cardiovascular Endurance,21 minutes,31 sec work / 31 sec rest
Rowing - Steady State,Rowing,Steady State,Very High,Kettlebell,Athletic Conditioning,22 minutes,32 sec work / 32 sec rest
Rowing - Intervals,Rowing,Intervals,Low,Dumbbell,VO2 Max,23 minutes,33 sec work / 33 sec rest
Rowing - Intervals,Rowing,Intervals,Moderate,Medicine Ball,Metabolic Conditioning,24 minutes,34 sec work / 34 sec rest
Rowing - Intervals,Rowing,Intervals,High,Battle Rope,Fat Loss,25 minutes,35 sec work / 35 sec rest
Rowing - Intervals,Rowing,Intervals,Very High,,Cardiovascular Endurance,26 minutes,36 sec work / 36 sec rest
Rowing - HIIT,Rowing,HIIT,Low,Treadmill,Athletic Conditioning,27 minutes,37 sec work / 37 sec rest
Rowing - HIIT,Rowing,HIIT,Moderate,Bike,VO2 Max,28 minutes,38 sec work / 38 sec rest
Rowing - HIIT,Rowing,HIIT,High,Rower,Metabolic Conditioning,29 minutes,39 sec work / 39 sec rest
Rowing - HIIT,Rowing,HIIT,Very High,Kettlebell,Fat Loss,30 minutes,40 sec work / 10 sec rest
Rowing - EMOM,Rowing,EMOM,Low,Dumbbell,Cardiovascular Endurance,31 minutes,41 sec work / 11 sec rest
Rowing - EMOM,Rowing,EMOM,Moderate,Medicine Ball,Athletic Conditioning,32 minutes,42 sec work / 12 sec rest
Rowing - EMOM,Rowing,EMOM,High,Battle Rope,VO2 Max,33 minutes,43 sec work / 13 sec rest
Rowing - EMOM,Rowing,EMOM,Very High,,Metabolic Conditioning,34 minutes,44 sec work / 14 sec rest
Rowing - AMRAP,Rowing,AMRAP,Low,Treadmill,Fat Loss,35 minutes,45 sec work / 15 sec rest
Rowing - AMRAP,Rowing,AMRAP,Moderate,Bike,Cardiovascular Endurance,36 minutes,46 sec work / 16 sec rest
Rowing - AMRAP,Rowing,AMRAP,High,Rower,Athletic Conditioning,37 minutes,47 sec work / 17 sec rest
Rowing - AMRAP,Rowing,AMRAP,Very High,Kettlebell,VO2 Max,38 minutes,48 sec work / 18 sec rest
Rowing - Circuit,Rowing,Circuit,Low,Dumbbell,Metabolic Conditioning,39 minutes,49 sec work / 19 sec rest
Rowing - Circuit,Rowing,Circuit,Moderate,Medicine Ball,Fat Loss,40 minutes,50 sec work / 20 sec rest
Rowing - Circuit,Rowing,Circuit,High,Battle Rope,Cardiovascular Endurance,41 minutes,51 sec work / 21 sec rest
Rowing - Circuit,Rowing,Circuit,Very High,,Athletic Conditioning,42 minutes,52 sec work / 22 sec rest
Jump Rope - Steady State,Jump Rope,Steady State,Low,Treadmill,VO2 Max,43 minutes,53 sec work / 23 sec rest
Jump Rope - Steady State,Jump Rope,Steady State,Moderate,Bike,Metabolic Conditioning,44 minutes,54 sec work / 24 sec rest
Jump Rope - Steady State,Jump Rope,Steady State,High,Rower,Fat Loss,45 minutes,55 sec work / 25 sec rest
Jump Rope - Steady State,Jump Rope,Steady State,Very High,Kettlebell,Cardiovascular Endurance,46 minutes,56 sec work / 26 sec rest
Jump Rope - Intervals,Jump Rope,Intervals,Low,Dumbbell,Athletic Conditioning,47 minutes,57 sec work / 27 sec rest
Jump Rope - Intervals,Jump Rope,Intervals,Moderate,Medicine Ball,VO2 Max,48 minutes,58 sec work / 28 sec rest
Jump Rope - Intervals,Jump Rope,Intervals,High,Battle Rope,Metabolic Conditioning,49 minutes,59 sec work / 29 sec rest
Jump Rope - Intervals,Jump Rope,Intervals,Very High,,Fat Loss,10 minutes,20 sec work / 30 sec rest
Jump Rope - HIIT,Jump Rope,HIIT,Low,Treadmill,Cardiovascular Endurance,11 minutes,21 sec work / 31 sec rest
Jump Rope - HIIT,Jump Rope,HIIT,Moderate,Bike,Athletic Conditioning,12 minutes,22 sec work / 32 sec rest
Jump Rope - HIIT,Jump Rope,HIIT,High,Rower,VO2 Max,13 minutes,23 sec work / 33 sec rest
Jump Rope - HIIT,Jump Rope,HIIT,Very High,Kettlebell,Metabolic Conditioning,14 minutes,24 sec work / 34 sec rest
Jump Rope - EMOM,Jump Rope,EMOM,Low,Dumbbell,Fat Loss,15 minutes,25 sec work / 35 sec rest
Jump Rope - EMOM,Jump Rope,EMOM,Moderate,Medicine Ball,Cardiovascular Endurance,16 minutes,26 sec work / 36 sec rest
Jump Rope - EMOM,Jump Rope,EMOM,High,Battle Rope,Athletic Conditioning,17 minutes,27 sec work / 37 sec rest
Jump Rope - EMOM,Jump Rope,EMOM,Very High,,VO2 Max,18 minutes,28 sec work / 38 sec rest
Jump Rope - AMRAP,Jump Rope,AMRAP,Low,Treadmill,Metabolic Conditioning,19 minutes,29 sec work / 39 sec rest
Jump Rope - AMRAP,Jump Rope,AMRAP,Moderate,Bike,Fat Loss,20 minutes,30 sec work / 10 sec rest
Jump Rope - AMRAP,Jump Rope,AMRAP,High,Rower,Cardiovascular Endurance,21 minutes,31 sec work / 11 sec rest
Jump Rope - AMRAP,Jump Rope,AMRAP,Very High,Kettlebell,Athletic Conditioning,22 minutes,32 sec work / 12 sec rest
Jump Rope - Circuit,Jump Rope,Circuit,Low,Dumbbell,VO2 Max,23 minutes,33 sec work / 13 sec rest
Jump Rope - Circuit,Jump Rope,Circuit,Moderate,Medicine Ball,Metabolic Conditioning,24 minutes,34 sec work / 14 sec rest
Jump Rope - Circuit,Jump Rope,Circuit,High,Battle Rope,Fat Loss,25 minutes,35 sec work / 15 sec rest
Jump Rope - Circuit,Jump Rope,Circuit,Very High,,Cardiovascular Endurance,26 minutes,36 sec work / 16 sec rest
Stair Climbing - Steady State,Stair Climbing,Steady State,Low,Treadmill,Athletic Conditioning,27 minutes,37 sec work / 17 sec rest
Stair Climbing - Steady State,Stair Climbing,Steady State,Moderate,Bike,VO2 Max,28 minutes,38 sec work / 18 sec rest
Stair Climbing - Steady State,Stair Climbing,Steady State,High,Rower,Metabolic Conditioning,29 minutes,39 sec work / 19 sec rest
Stair Climbing - Steady State,Stair Climbing,Steady State,Very High,Kettlebell,Fat Loss,30 minutes,40 sec work / 20 sec rest
Stair Climbing - Intervals,Stair Climbing,Intervals,Low,Dumbbell,Cardiovascular Endurance,31 minutes,41 sec work / 21 sec rest
Stair Climbing - Intervals,Stair Climbing,Intervals,Moderate,Medicine Ball,Athletic Conditioning,32 minutes,42 sec work / 22 sec rest
Stair Climbing - Intervals,Stair Climbing,Intervals,High,Battle Rope,VO2 Max,33 minutes,43 sec work / 23 sec rest
Stair Climbing - Intervals,Stair Climbing,Intervals,Very High,,Metabolic Conditioning,34 minutes,44 sec work / 24 sec rest
Stair Climbing - HIIT,Stair Climbing,HIIT,Low,Treadmill,Fat Loss,35 minutes,45 sec work / 25 sec rest
Stair Climbing - HIIT,Stair Climbing,HIIT,Moderate,Bike,Cardiovascular Endurance,36 minutes,46 sec work / 26 sec rest
Stair Climbing - HIIT,Stair Climbing,HIIT,High,Rower,Athletic Conditioning,37 minutes,47 sec work / 27 sec rest
Stair Climbing - HIIT,Stair Climbing,HIIT,Very High,Kettlebell,VO2 Max,38 minutes,48 sec work / 28 sec rest
Stair Climbing - EMOM,Stair Climbing,EMOM,Low,Dumbbell,Metabolic Conditioning,39 minutes,49 sec work / 29 sec rest
Stair Climbing - EMOM,Stair Climbing,EMOM,Moderate,Medicine Ball,Fat Loss,40 minutes,50 sec work / 30 sec rest
Stair Climbing - EMOM,Stair Climbing,EMOM,High,Battle Rope,Cardiovascular Endurance,41 minutes,51 sec work / 31 sec rest
Stair Climbing - EMOM,Stair Climbing,EMOM,Very High,,Athletic Conditioning,42 minutes,52 sec work / 32 sec rest
Stair Climbing - AMRAP,Stair Climbing,AMRAP,Low,Treadmill,VO2 Max,43 minutes,53 sec work / 33 sec rest
Stair Climbing - AMRAP,Stair Climbing,AMRAP,Moderate,Bike,Metabolic Conditioning,44 minutes,54 sec work / 34 sec rest
Stair Climbing - AMRAP,Stair Climbing,AMRAP,High,Rower,Fat Loss,45 minutes,55 sec work / 35 sec rest
Stair Climbing - AMRAP,Stair Climbing,AMRAP,Very High,Kettlebell,Cardiovascular Endurance,46 minutes,56 sec work / 36 sec rest
Stair Climbing - Circuit,Stair Climbing,Circuit,Low,Dumbbell,Athletic Conditioning,47 minutes,57 sec work / 37 sec rest
Stair Climbing - Circuit,Stair Climbing,Circuit,Moderate,Medicine Ball,VO2 Max,48 minutes,58 sec work / 38 sec rest
Stair Climbing - Circuit,Stair Climbing,Circuit,High,Battle Rope,Metabolic Conditioning,49 minutes,59 sec work / 39 sec rest
Stair Climbing - Circuit,Stair Climbing,Circuit,Very High,,Fat Loss,10 minutes,20 sec work / 10 sec rest
Swimming - Steady State,Swimming,Steady State,Low,Treadmill,Cardiovascular Endurance,11 minutes,21 sec work / 11 sec rest
Swimming - Steady State,Swimming,Steady State,Moderate,Bike,Athletic Conditioning,12 minutes,22 sec work / 12 sec rest
Swimming - Steady State,Swimming,Steady State,High,Rower,VO2 Max,13 minutes,23 sec work / 13 sec rest
Swimming - Steady State,Swimming,Steady State,Very High,Kettlebell,Metabolic Conditioning,14 minutes,24 sec work / 14 sec rest
Swimming - Intervals,Swimming,Intervals,Low,Dumbbell,Fat Loss,15 minutes,25 sec work / 15 sec rest
Swimming - Intervals,Swimming,Intervals,Moderate,Medicine Ball,Cardiovascular Endurance,16 minutes,26 sec work / 16 sec rest
Swimming - Intervals,Swimming,Intervals,High,Battle Rope,Athletic Conditioning,17 minutes,27 sec work / 17 sec rest
Swimming - Intervals,Swimming,Intervals,Very High,,VO2 Max,18 minutes,28 sec work / 18 sec rest
Swimming - HIIT,Swimming,HIIT,Low,Treadmill,Metabolic Conditioning,19 minutes,29 sec work / 19 sec rest
Swimming - HIIT,Swimming,HIIT,Moderate,Bike,Fat Loss,20 minutes,30 sec work / 20 sec rest
Swimming - HIIT,Swimming,HIIT,High,Rower,Cardiovascular Endurance,21 minutes,31 sec work / 21 sec rest
Swimming - HIIT,Swimming,HIIT,Very High,Kettlebell,Athletic Conditioning,22 minutes,32 sec work / 22 sec rest
Swimming - EMOM,Swimming,EMOM,Low,Dumbbell,VO2 Max,23 minutes,33 sec work / 23 sec rest
Swimming - EMOM,Swimming,EMOM,Moderate,Medicine Ball,Metabolic Conditioning,24 minutes,34 sec work / 24 sec rest
Swimming - EMOM,Swimming,EMOM,High,Battle Rope,Fat Loss,25 minutes,35 sec work / 25 sec rest
Swimming - EMOM,Swimming,EMOM,Very High,,Cardiovascular Endurance,26 minutes,36 sec work / 26 sec rest
Swimming - AMRAP,Swimming,AMRAP,Low,Treadmill,Athletic Conditioning,27 minutes,37 sec work / 27 sec rest
Swimming - AMRAP,Swimming,AMRAP,Moderate,Bike,VO2 Max,28 minutes,38 sec work / 28 sec rest
Swimming - AMRAP,Swimming,AMRAP,High,Rower,Metabolic Conditioning,29 minutes,39 sec work / 29 sec rest
Swimming - AMRAP,Swimming,AMRAP,Very High,Kettlebell,Fat Loss,30 minutes,40 sec work / 30 sec rest
Swimming - Circuit,Swimming,Circuit,Low,Dumbbell,Cardiovascular Endurance,31 minutes,41 sec work / 31 sec rest
Swimming - Circuit,Swimming,Circuit,Moderate,Medicine Ball,Athletic Conditioning,32 minutes,42 sec work / 32 sec rest
Swimming - Circuit,Swimming,Circuit,High,Battle Rope,VO2 Max,33 minutes,43 sec work / 33 sec rest
Swimming - Circuit,Swimming,Circuit,Very High,,Metabolic Conditioning,34 minutes,44 sec work / 34 sec rest
Elliptical - Steady State,Elliptical,Steady State,Low,Treadmill,Fat Loss,35 minutes,45 sec work / 35 sec rest
Elliptical - Steady State,Elliptical,Steady State,Moderate,Bike,Cardiovascular Endurance,36 minutes,46 sec work / 36 sec rest
Elliptical - Steady State,Elliptical,Steady State,High,Rower,Athletic Conditioning,37 minutes,47 sec work / 37 sec rest
Elliptical - Steady State,Elliptical,Steady State,Very High,Kettlebell,VO2 Max,38 minutes,48 sec work / 38 sec rest
Elliptical - Intervals,Elliptical,Intervals,Low,Dumbbell,Metabolic Conditioning,39 minutes,49 sec work / 39 sec rest
Elliptical - Intervals,Elliptical,Intervals,Moderate,Medicine Ball,Fat Loss,40 minutes,50 sec work / 10 sec rest
Elliptical - Intervals,Elliptical,Intervals,High,Battle Rope,Cardiovascular Endurance,41 minutes,51 sec work / 11 sec rest
Elliptical - Intervals,Elliptical,Intervals,Very High,,Athletic Conditioning,42 minutes,52 sec work / 12 sec rest
Elliptical - HIIT,Elliptical,HIIT,Low,Treadmill,VO2 Max,43 minutes,53 sec work / 13 sec rest
Elliptical - HIIT,Elliptical,HIIT,Moderate,Bike,Metabolic Conditioning,44 minutes,54 sec work / 14 sec rest
Elliptical - HIIT,Elliptical,HIIT,High,Rower,Fat Loss,45 minutes,55 sec work / 15 sec rest
Elliptical - HIIT,Elliptical,HIIT,Very High,Kettlebell,Cardiovascular Endurance,46 minutes,56 sec work / 16 sec rest
Elliptical - EMOM,Elliptical,EMOM,Low,Dumbbell,Athletic Conditioning,47 minutes,57 sec work / 17 sec rest
Elliptical - EMOM,Elliptical,EMOM,Moderate,Medicine Ball,VO2 Max,48 minutes,58 sec work / 18 sec rest
Elliptical - EMOM,Elliptical,EMOM,High,Battle Rope,Metabolic Conditioning,49 minutes,59 sec work / 19 sec rest
Elliptical - EMOM,Elliptical,EMOM,Very High,,Fat Loss,10 minutes,20 sec work / 20 sec rest
Elliptical - AMRAP,Elliptical,AMRAP,Low,Treadmill,Cardiovascular Endurance,11 minutes,21 sec work / 21 sec rest
Elliptical - AMRAP,Elliptical,AMRAP,Moderate,Bike,Athletic Conditioning,12 minutes,22 sec work / 22 sec rest
Elliptical - AMRAP,Elliptical,AMRAP,High,Rower,VO2 Max,13 minutes,23 sec work / 23 sec rest
Elliptical - AMRAP,Elliptical,AMRAP,Very High,Kettlebell,Metabolic Conditioning,14 minutes,24 sec work / 24 sec rest
Elliptical - Circuit,Elliptical,Circuit,Low,Dumbbell,Fat Loss,15 minutes,25 sec work / 25 sec rest
Elliptical - Circuit,Elliptical,Circuit,Moderate,Medicine Ball,Cardiovascular Endurance,16 minutes,26 sec work / 26 sec rest
Elliptical - Circuit,Elliptical,Circuit,High,Battle Rope,Athletic Conditioning,17 minutes,27 sec work / 27 sec rest
Elliptical - Circuit,Elliptical,Circuit,Very High,,VO2 Max,18 minutes,28 sec work / 28 sec rest
Speed Walking - Steady State,Speed Walking,Steady State,Low,Treadmill,Metabolic Conditioning,19 minutes,29 sec work / 29 sec rest
Speed Walking - Steady State,Speed Walking,Steady State,Moderate,Bike,Fat Loss,20 minutes,30 sec work / 30 sec rest
Speed Walking - Steady State,Speed Walking,Steady State,High,Rower,Cardiovascular Endurance,21 minutes,31 sec work / 31 sec rest
Speed Walking - Steady State,Speed Walking,Steady State,Very High,Kettlebell,Athletic Conditioning,22 minutes,32 sec work / 32 sec rest
Speed Walking - Intervals,Speed Walking,Intervals,Low,Dumbbell,VO2 Max,23 minutes,33 sec work / 33 sec rest
Speed Walking - Intervals,Speed Walking,Intervals,Moderate,Medicine Ball,Metabolic Conditioning,24 minutes,34 sec work / 34 sec rest
Speed Walking - Intervals,Speed Walking,Intervals,High,Battle Rope,Fat Loss,25 minutes,35 sec work / 35 sec rest
Speed Walking - Intervals,Speed Walking,Intervals,Very High,,Cardiovascular Endurance,26 minutes,36 sec work / 36 sec rest
Speed Walking - HIIT,Speed Walking,HIIT,Low,Treadmill,Athletic Conditioning,27 minutes,37 sec work / 37 sec rest
Speed Walking - HIIT,Speed Walking,HIIT,Moderate,Bike,VO2 Max,28 minutes,38 sec work / 38 sec rest
