workout_name,primary_activity,training_format,intensity_level,equipment_required,primary_goal,typical_duration,work_rest_structure
Agility Ladder - HIIT,Agility Ladder,HIIT,Low,Treadmill,Fat Loss,35 minutes,45 sec work / 25 sec rest
Agility Ladder - HIIT,Agility Ladder,HIIT,Moderate,Bike,Cardiovascular Endurance,36 minutes,46 sec work / 26 sec rest
Agility Ladder - HIIT,Agility Ladder,HIIT,High,Rower,Athletic Conditioning,37 minutes,47 sec work / 27 sec rest
Agility Ladder - HIIT,Agility Ladder,HIIT,Very High,Kettlebell,VO2 Max,38 minutes,48 sec work / 28 sec rest
Agility Ladder - EMOM,Agility Ladder,EMOM,Low,Dumbbell,Metabolic Conditioning,39 minutes,49 sec work / 29 sec rest
Agility Ladder - EMOM,Agility Ladder,EMOM,Moderate,Medicine Ball,Fat Loss,40 minutes,50 sec work / 30 sec rest
Agility Ladder - EMOM,Agility Ladder,EMOM,High,Battle Rope,Cardiovascular Endurance,41 minutes,51 sec work / 31 sec rest
Agility Ladder - EMOM,Agility Ladder,EMOM,Very High,,Athletic Conditioning,42 minutes,52 sec work / 32 sec rest
Agility Ladder - AMRAP,Agility Ladder,AMRAP,Low,Treadmill,VO2 Max,43 minutes,53 sec work / 33 sec rest
Agility Ladder - AMRAP,Agility Ladder,AMRAP,Moderate,Bike,Metabolic Conditioning,44 minutes,54 sec work / 34 sec rest
Agility Ladder - AMRAP,Agility Ladder,AMRAP,High,Rower,Fat Loss,45 minutes,55 sec work / 35 sec rest
Agility Ladder - AMRAP,Agility Ladder,AMRAP,Very High,Kettlebell,Cardiovascular Endurance,46 minutes,56 sec work / 36 sec rest
Agility Ladder - Circuit,Agility Ladder,Circuit,Low,Dumbbell,Athletic Conditioning,47 minutes,57 sec work / 37 sec rest
Agility Ladder - Circuit,Agility Ladder,Circuit,Moderate,Medicine Ball,VO2 Max,48 minutes,58 sec work / 38 sec rest
Agility Ladder - Circuit,Agility Ladder,Circuit,High,Battle Rope,Metabolic Conditioning,49 minutes,59 sec work / 39 sec rest
Agility Ladder - Circuit,Agility Ladder,Circuit,Very High,,Fat Loss,10 minutes,20 sec work / 10 sec rest
Burpees - Steady State,Burpees,Steady State,Low,Treadmill,Cardiovascular Endurance,11 minutes,21 sec work / 11 sec rest
Burpees - Steady State,Burpees,Steady State,Moderate,Bike,Athletic Conditioning,12 minutes,22 sec work / 12 sec rest
Burpees - Steady State,Burpees,Steady State,High,Rower,VO2 Max,13 minutes,23 sec work / 13 sec rest
Burpees - Steady State,Burpees,Steady State,Very High,Kettlebell,Metabolic Conditioning,14 minutes,24 sec work / 14 sec rest
Burpees - Intervals,Burpees,Intervals,Low,Dumbbell,Fat Loss,15 minutes,25 sec work / 15 sec rest
Burpees - Intervals,Burpees,Intervals,Moderate,Medicine Ball,Cardiovascular Endurance,16 minutes,26 sec work / 16 sec rest
Burpees - Intervals,Burpees,Intervals,High,Battle Rope,Athletic Conditioning,17 minutes,27 sec work / 17 sec rest
Burpees - Intervals,Burpees,Intervals,Very High,,VO2 Max,18 minutes,28 sec work / 18 sec rest
Burpees - HIIT,Burpees,HIIT,Low,Treadmill,Metabolic Conditioning,19 minutes,29 sec work / 19 sec rest
Burpees - HIIT,Burpees,HIIT,Moderate,Bike,Fat Loss,20 minutes,30 sec work / 20 sec rest
Burpees - HIIT,Burpees,HIIT,High,Rower,Cardiovascular Endurance,21 minutes,31 sec work / 21 sec rest
Burpees - HIIT,Burpees,HIIT,Very High,Kettlebell,Athletic Conditioning,22 minutes,32 sec work / 22 sec rest
Burpees - EMOM,Burpees,EMOM,Low,Dumbbell,VO2 Max,23 minutes,33 sec work / 23 sec rest
Burpees - EMOM,Burpees,EMOM,Moderate,Medicine Ball,Metabolic Conditioning,24 minutes,34 sec work / 24 sec rest
Burpees - EMOM,Burpees,EMOM,High,Battle Rope,Fat Loss,25 minutes,35 sec work / 25 sec rest
Burpees - EMOM,Burpees,EMOM,Very High,,Cardiovascular Endurance,26 minutes,36 sec work / 26 sec rest
Burpees - AMRAP,Burpees,AMRAP,Low,Treadmill,Athletic Conditioning,27 minutes,37 sec work / 27 sec rest
Burpees - AMRAP,Burpees,AMRAP,Moderate,Bike,VO2 Max,28 minutes,38 sec work / 28 sec rest
Burpees - AMRAP,Burpees,AMRAP,High,Rower,Metabolic Conditioning,29 minutes,39 sec work / 29 sec rest
Burpees - AMRAP,Burpees,AMRAP,Very High,Kettlebell,Fat Loss,30 minutes,40 sec work / 30 sec rest
Burpees - Circuit,Burpees,Circuit,Low,Dumbbell,Cardiovascular Endurance,31 minutes,41 sec work / 31 sec rest
Burpees - Circuit,Burpees,Circuit,Moderate,Medicine Ball,Athletic Conditioning,32 minutes,42 sec work / 32 sec rest
Burpees - Circuit,Burpees,Circuit,High,Battle Rope,VO2 Max,33 minutes,43 sec work / 33 sec rest
Burpees - Circuit,Burpees,Circuit,Very High,,Metabolic Conditioning,34 minutes,44 sec work / 34 sec rest
High Knees - Steady State,High Knees,Steady State,Low,Treadmill,Fat Loss,35 minutes,45 sec work / 35 sec rest
High Knees - Steady State,High Knees,Steady State,Moderate,Bike,Cardiovascular Endurance,36 minutes,46 sec work / 36 sec rest
High Knees - Steady State,High Knees,Steady State,High,Rower,Athletic Conditioning,37 minutes,47 sec work / 37 sec rest
High Knees - Steady State,High Knees,Steady State,Very High,Kettlebell,VO2 Max,38 minutes,48 sec work / 38 sec rest
High Knees - Intervals,High Knees,Intervals,Low,Dumbbell,Metabolic Conditioning,39 minutes,49 sec work / 39 sec rest
High Knees - Intervals,High Knees,Intervals,Moderate,Medicine Ball,Fat Loss,40 minutes,50 sec work / 10 sec rest
High Knees - Intervals,High Knees,Intervals,High,Battle Rope,Cardiovascular Endurance,41 minutes,51 sec work / 11 sec rest
High Knees - Intervals,High Knees,Intervals,Very High,,Athletic Conditioning,42 minutes,52 sec work / 12 sec rest
High Knees - HIIT,High Knees,HIIT,Low,Treadmill,VO2 Max,43 minutes,53 sec work / 13 sec rest
High Knees - HIIT,High Knees,HIIT,Moderate,Bike,Metabolic Conditioning,44 minutes,54 sec work / 14 sec rest
High Knees - HIIT,High Knees,HIIT,High,Rower,Fat Loss,45 minutes,55 sec work / 15 sec rest
High Knees - HIIT,High Knees,HIIT,Very High,Kettlebell,Cardiovascular Endurance,46 minutes,56 sec work / 16 sec rest
High Knees - EMOM,High Knees,EMOM,Low,Dumbbell,Athletic Conditioning,47 minutes,57 sec work / 17 sec rest
High Knees - EMOM,High Knees,EMOM,Moderate,Medicine Ball,VO2 Max,48 minutes,58 sec work / 18 sec rest
High Knees - EMOM,High Knees,EMOM,High,Battle Rope,Metabolic Conditioning,49 minutes,59 sec work / 19 sec rest
High Knees - EMOM,High Knees,EMOM,Very High,,Fat Loss,10 minutes,20 sec work / 20 sec rest
High Knees - AMRAP,High Knees,AMRAP,Low,Treadmill,Cardiovascular Endurance,11 minutes,21 sec work / 21 sec rest
High Knees - AMRAP,High Knees,AMRAP,Moderate,Bike,Athletic Conditioning,12 minutes,22 sec work / 22 sec rest
High Knees - AMRAP,High Knees,AMRAP,High,Rower,VO2 Max,13 minutes,23 sec work / 23 sec rest
High Knees - AMRAP,High Knees,AMRAP,Very High,Kettlebell,Metabolic Conditioning,14 minutes,24 sec work / 24 sec rest
High Knees - Circuit,High Knees,Circuit,Low,Dumbbell,Fat Loss,15 minutes,25 sec work / 25 sec rest
High Knees - Circuit,High Knees,Circuit,Moderate,Medicine Ball,Cardiovascular Endurance,16 minutes,26 sec work / 26 sec rest
High Knees - Circuit,High Knees,Circuit,High,Battle Rope,Athletic Conditioning,17 minutes,27 sec work / 27 sec rest
High Knees - Circuit,High Knees,Circuit,Very High,,VO2 Max,18 minutes,28 sec work / 28 sec rest
Jump Squats - Steady State,Jump Squats,Steady State,Low,Treadmill,Metabolic Conditioning,19 minutes,29 sec work / 29 sec rest
Jump Squats - Steady State,Jump Squats,Steady State,Moderate,Bike,Fat Loss,20 minutes,30 sec work / 30 sec rest
Jump Squats - Steady State,Jump Squats,Steady State,High,Rower,Cardiovascular Endurance,21 minutes,31 sec work / 31 sec rest
Jump Squats - Steady State,Jump Squats,Steady State,Very High,Kettlebell,Athletic Conditioning,22 minutes,32 sec work / 32 sec rest
Jump Squats - Intervals,Jump Squats,Intervals,Low,Dumbbell,VO2 Max,23 minutes,33 sec work / 33 sec rest
Jump Squats - Intervals,Jump Squats,Intervals,Moderate,Medicine Ball,Metabolic Conditioning,24 minutes,34 sec work / 34 sec rest
Jump Squats - Intervals,Jump Squats,Intervals,High,Battle Rope,Fat Loss,25 minutes,35 sec work / 35 sec rest
Jump Squats - Intervals,Jump Squats,Intervals,Very High,,Cardiovascular Endurance,26 minutes,36 sec work / 36 sec rest
Jump Squats - HIIT,Jump Squats,HIIT,Low,Treadmill,Athletic Conditioning,27 minutes,37 sec work / 37 sec rest
Jump Squats - HIIT,Jump Squats,HIIT,Moderate,Bike,VO2 Max,28 minutes,38 sec work / 38 sec rest
Jump Squats - HIIT,Jump Squats,HIIT,High,Rower,Metabolic Conditioning,29 minutes,39 sec work / 39 sec rest
Jump Squats - HIIT,Jump Squats,HIIT,Very High,Kettlebell,Fat Loss,30 minutes,40 sec work / 10 sec rest
Jump Squats - EMOM,Jump Squats,EMOM,Low,Dumbbell,Cardiovascular Endurance,31 minutes,41 sec work / 11 sec rest
Jump Squats - EMOM,Jump Squats,EMOM,Moderate,Medicine Ball,Athletic Conditioning,32 minutes,42 sec work / 12 sec rest
Jump Squats - EMOM,Jump Squats,EMOM,High,Battle Rope,VO2 Max,33 minutes,43 sec work / 13 sec rest
Jump Squats - EMOM,Jump Squats,EMOM,Very High,,Metabolic Conditioning,34 minutes,44 sec work / 14 sec rest
Jump Squats - AMRAP,Jump Squats,AMRAP,Low,Treadmill,Fat Loss,35 minutes,45 sec work / 15 sec rest
Jump Squats - AMRAP,Jump Squats,AMRAP,Moderate,Bike,Cardiovascular Endurance,36 minutes,46 sec work / 16 sec rest
Jump Squats - AMRAP,Jump Squats,AMRAP,High,Rower,Athletic Conditioning,37 minutes,47 sec work / 17 sec rest
Jump Squats - AMRAP,Jump Squats,AMRAP,Very High,Kettlebell,VO2 Max,38 minutes,48 sec work / 18 sec rest
Jump Squats - Circuit,Jump Squats,Circuit,Low,Dumbbell,Metabolic Conditioning,39 minutes,49 sec work / 19 sec rest
Jump Squats - Circuit,Jump Squats,Circuit,Moderate,Medicine Ball,Fat Loss,40 minutes,50 sec work / 20 sec rest
Jump Squats - Circuit,Jump Squats,Circuit,High,Battle Rope,Cardiovascular Endurance,41 minutes,51 sec work / 21 sec rest
Jump Squats - Circuit,Jump Squats,Circuit,Very High,,Athletic Conditioning,42 minutes,52 sec work / 22 sec rest
Skater Hops - Steady State,Skater Hops,Steady State,Low,Treadmill,VO2 Max,43 minutes,53 sec work / 23 sec rest
Skater Hops - Steady State,Skater Hops,Steady State,Moderate,Bike,Metabolic Conditioning,44 minutes,54 sec work / 24 sec rest
Skater Hops - Steady State,Skater Hops,Steady State,High,Rower,Fat Loss,45 minutes,55 sec work / 25 sec rest
Skater Hops - Steady State,Skater Hops,Steady State,Very High,Kettlebell,Cardiovascular Endurance,46 minutes,56 sec work / 26 sec rest
Skater Hops - Intervals,Skater Hops,Intervals,Low,Dumbbell,Athletic Conditioning,47 minutes,57 sec work / 27 sec rest
Skater Hops - Intervals,Skater Hops,Intervals,Moderate,Medicine Ball,VO2 Max,48 minutes,58 sec work / 28 sec rest
Skater Hops - Intervals,Skater Hops,Intervals,High,Battle Rope,Metabolic Conditioning,49 minutes,59 sec work / 29 sec rest
Skater Hops - Intervals,Skater Hops,Intervals,Very High,,Fat Loss,10 minutes,20 sec work / 30 sec rest
Skater Hops - HIIT,Skater Hops,HIIT,Low,Treadmill,Cardiovascular Endurance,11 minutes,21 sec work / 31 sec rest
Skater Hops - HIIT,Skater Hops,HIIT,Moderate,Bike,Athletic Conditioning,12 minutes,22 sec work / 32 sec rest
Skater Hops - HIIT,Skater Hops,HIIT,High,Rower,VO2 Max,13 minutes,23 sec work / 33 sec rest
Skater Hops - HIIT,Skater Hops,HIIT,Very High,Kettlebell,Metabolic Conditioning,14 minutes,24 sec work / 34 sec rest
Skater Hops - EMOM,Skater Hops,EMOM,Low,Dumbbell,Fat Loss,15 minutes,25 sec work / 35 sec rest
Skater Hops - EMOM,Skater Hops,EMOM,Moderate,Medicine Ball,Cardiovascular Endurance,16 minutes,26 sec work / 36 sec rest
Skater Hops - EMOM,Skater Hops,EMOM,High,Battle Rope,Athletic Conditioning,17 minutes,27 sec work / 37 sec rest
Skater Hops - EMOM,Skater Hops,EMOM,Very High,,VO2 Max,18 minutes,28 sec work / 38 sec rest
Skater Hops - AMRAP,Skater Hops,AMRAP,Low,Treadmill,Metabolic Conditioning,19 minutes,29 sec work / 39 sec rest
Skater Hops - AMRAP,Skater Hops,AMRAP,Moderate,Bike,Fat Loss,20 minutes,30 sec work / 10 sec rest
Skater Hops - AMRAP,Skater Hops,AMRAP,High,Rower,Cardiovascular Endurance,21 minutes,31 sec work / 11 sec rest
Skater Hops - AMRAP,Skater Hops,AMRAP,Very High,Kettlebell,Athletic Conditioning,22 minutes,32 sec work / 12 sec rest
Skater Hops - Circuit,Skater Hops,Circuit,Low,Dumbbell,VO2 Max,23 minutes,33 sec work / 13 sec rest
Skater Hops - Circuit,Skater Hops,Circuit,Moderate,Medicine Ball,Metabolic Conditioning,24 minutes,34 sec work / 14 sec rest
Skater Hops - Circuit,Skater Hops,Circuit,High,Battle Rope,Fat Loss,25 minutes,35 sec work / 15 sec rest
Skater Hops - Circuit,Skater Hops,Circuit,Very High,,Cardiovascular Endurance,26 minutes,36 sec work / 16 sec rest
Box Jumps - Steady State,Box Jumps,Steady State,Low,Treadmill,Athletic Conditioning,27 minutes,37 sec work / 17 sec rest
Box Jumps - Steady State,Box Jumps,Steady State,Moderate,Bike,VO2 Max,28 minutes,38 sec work / 18 sec rest
Box Jumps - Steady State,Box Jumps,Steady State,High,Rower,Metabolic Conditioning,29 minutes,39 sec work / 19 sec rest
Box Jumps - Steady State,Box Jumps,Steady State,Very High,Kettlebell,Fat Loss,30 minutes,40 sec work / 20 sec rest
Box Jumps - Intervals,Box Jumps,Intervals,Low,Dumbbell,Cardiovascular Endurance,31 minutes,41 sec work / 21 sec rest
Box Jumps - Intervals,Box Jumps,Intervals,Moderate,Medicine Ball,Athletic Conditioning,32 minutes,42 sec work / 22 sec rest
Box Jumps - Intervals,Box Jumps,Intervals,High,Battle Rope,VO2 Max,33 minutes,43 sec work / 23 sec rest
Box Jumps - Intervals,Box Jumps,Intervals,Very High,,Metabolic Conditioning,34 minutes,44 sec work / 24 sec rest
Box Jumps - HIIT,Box Jumps,HIIT,Low,Treadmill,Fat Loss,35 minutes,45 sec work / 25 sec rest
Box Jumps - HIIT,Box Jumps,HIIT,Moderate,Bike,Cardiovascular Endurance,36 minutes,46 sec work / 26 sec rest
Box Jumps - HIIT,Box Jumps,HIIT,High,Rower,Athletic Conditioning,37 minutes,47 sec work / 27 sec rest
Box Jumps - HIIT,Box Jumps,HIIT,Very High,Kettlebell,VO2 Max,38 minutes,48 sec work / 28 sec rest
Box Jumps - EMOM,Box Jumps,EMOM,Low,Dumbbell,Metabolic Conditioning,39 minutes,49 sec work / 29 sec rest
Box Jumps - EMOM,Box Jumps,EMOM,Moderate,Medicine Ball,Fat Loss,40 minutes,50 sec work / 30 sec rest
Box Jumps - EMOM,Box Jumps,EMOM,High,Battle Rope,Cardiovascular Endurance,41 minutes,51 sec work / 31 sec rest
Box Jumps - EMOM,Box Jumps,EMOM,Very High,,Athletic Conditioning,42 minutes,52 sec work / 32 sec rest
Box Jumps - AMRAP,Box Jumps,AMRAP,Low,Treadmill,VO2 Max,43 minutes,53 sec work / 33 sec rest
Box Jumps - AMRAP,Box Jumps,AMRAP,Moderate,Bike,Metabolic Conditioning,44 minutes,54 sec work / 34 sec rest
Box Jumps - AMRAP,Box Jumps,AMRAP,High,Rower,Fat Loss,45 minutes,55 sec work / 35 sec rest
Box Jumps - AMRAP,Box Jumps,AMRAP,Very High,Kettlebell,Cardiovascular Endurance,46 minutes,56 sec work / 36 sec rest
Box Jumps - Circuit,Box Jumps,Circuit,Low,Dumbbell,Athletic Conditioning,47 minutes,57 sec work / 37 sec rest
Box Jumps - Circuit,Box Jumps,Circuit,Moderate,Medicine Ball,VO2 Max,48 minutes,58 sec work / 38 sec rest
Box Jumps - Circuit,Box Jumps,Circuit,High,Battle Rope,Metabolic Conditioning,49 minutes,59 sec work / 39 sec rest
Box Jumps - Circuit,Box Jumps,Circuit,Very High,,Fat Loss,10 minutes,20 sec work / 10 sec rest
Bear Crawl - Steady State,Bear Crawl,Steady State,Low,Treadmill,Cardiovascular Endurance,11 minutes,21 sec work / 11 sec rest
Bear Crawl - Steady State,Bear Crawl,Steady State,Moderate,Bike,Athletic Conditioning,12 minutes,22 sec work / 12 sec rest
Bear Crawl - Steady State,Bear Crawl,Steady State,High,Rower,VO2 Max,13 minutes,23 sec work / 13 sec rest
Bear Crawl - Steady State,Bear Crawl,Steady State,Very High,Kettlebell,Metabolic Conditioning,14 minutes,24 sec work / 14 sec rest
Bear Crawl - Intervals,Bear Crawl,Intervals,Low,Dumbbell,Fat Loss,15 minutes,25 sec work / 15 sec rest
Bear Crawl - Intervals,Bear Crawl,Intervals,Moderate,Medicine Ball,Cardiovascular Endurance,16 minutes,26 sec work / 16 sec rest
Bear Crawl - Intervals,Bear Crawl,Intervals,High,Battle Rope,Athletic Conditioning,17 minutes,27 sec work / 17 sec rest
Bear Crawl - Intervals,Bear Crawl,Intervals,Very High,,VO2 Max,18 minutes,28 sec work / 18 sec rest
Bear Crawl - HIIT,Bear Crawl,HIIT,Low,Treadmill,Metabolic Conditioning,19 minutes,29 sec work / 19 sec rest
Bear Crawl - HIIT,Bear Crawl,HIIT,Moderate,Bike,Fat Loss,20 minutes,30 sec work / 20 sec rest
Bear Crawl - HIIT,Bear Crawl,HIIT,High,Rower,Cardiovascular Endurance,21 minutes,31 sec work / 21 sec rest
Bear Crawl - HIIT,Bear Crawl,HIIT,Very High,Kettlebell,Athletic Conditioning,22 minutes,32 sec work / 22 sec rest
Bear Crawl - EMOM,Bear Crawl,EMOM,Low,Dumbbell,VO2 Max,23 minutes,33 sec work / 23 sec rest
Bear Crawl - EMOM,Bear Crawl,EMOM,Moderate,Medicine Ball,Metabolic Conditioning,24 minutes,34 sec work / 24 sec rest
Bear Crawl - EMOM,Bear Crawl,EMOM,High,Battle Rope,Fat Loss,25 minutes,35 sec work / 25 sec rest
Bear Crawl - EMOM,Bear Crawl,EMOM,Very High,,Cardiovascular Endurance,26 minutes,36 sec work / 26 sec rest
Bear Crawl - AMRAP,Bear Crawl,AMRAP,Low,Treadmill,Athletic Conditioning,27 minutes,37 sec work / 27 sec rest
Bear Crawl - AMRAP,Bear Crawl,AMRAP,Moderate,Bike,VO2 Max,28 minutes,38 sec work / 28 sec rest
Bear Crawl - AMRAP,Bear Crawl,AMRAP,High,Rower,Metabolic Conditioning,29 minutes,39 sec work / 29 sec rest
Bear Crawl - AMRAP,Bear Crawl,AMRAP,Very High,Kettlebell,Fat Loss,30 minutes,40 sec work / 30 sec rest
Bear Crawl - Circuit,Bear Crawl,Circuit,Low,Dumbbell,Cardiovascular Endurance,31 minutes,41 sec work / 31 sec rest
Bear Crawl - Circuit,Bear Crawl,Circuit,Moderate,Medicine Ball,Athletic Conditioning,32 minutes,42 sec work / 32 sec rest
Bear Crawl - Circuit,Bear Crawl,Circuit,High,Battle Rope,VO2 Max,33 minutes,43 sec work / 33 sec rest
Bear Crawl - Circuit,Bear Crawl,Circuit,Very High,,Metabolic Conditioning,34 minutes,44 sec work / 34 sec rest
Farmer Carry - Steady State,Farmer Carry,Steady State,Low,Treadmill,Fat Loss,35 minutes,45 sec work / 35 sec rest
Farmer Carry - Steady State,Farmer Carry,Steady State,Moderate,Bike,Cardiovascular Endurance,36 minutes,46 sec work / 36 sec rest
Farmer Carry - Steady State,Farmer Carry,Steady State,High,Rower,Athletic Conditioning,37 minutes,47 sec work / 37 sec rest
Farmer Carry - Steady State,Farmer Carry,Steady State,Very High,Kettlebell,VO2 Max,38 minutes,48 sec work / 38 sec rest
Farmer Carry - Intervals,Farmer Carry,Intervals,Low,Dumbbell,Metabolic Conditioning,39 minutes,49 sec work / 39 sec rest
Farmer Carry - Intervals,Farmer Carry,Intervals,Moderate,Medicine Ball,Fat Loss,40 minutes,50 sec work / 10 sec rest
Farmer Carry - Intervals,Farmer Carry,Intervals,High,Battle Rope,Cardiovascular Endurance,41 minutes,51 sec work / 11 sec rest
Farmer Carry - Intervals,Farmer Carry,Intervals,Very High,,Athletic Conditioning,42 minutes,52 sec work / 12 sec rest
Farmer Carry - HIIT,Farmer Carry,HIIT,Low,Treadmill,VO2 Max,43 minutes,53 sec work / 13 sec rest
Farmer Carry - HIIT,Farmer Carry,HIIT,Moderate,Bike,Metabolic Conditioning,44 minutes,54 sec work / 14 sec rest
Farmer Carry - HIIT,Farmer Carry,HIIT,High,Rower,Fat Loss,45 minutes,55 sec work / 15 sec rest
Farmer Carry - HIIT,Farmer Carry,HIIT,Very High,Kettlebell,Cardiovascular Endurance,46 minutes,56 sec work / 16 sec rest
Farmer Carry - EMOM,Farmer Carry,EMOM,Low,Dumbbell,Athletic Conditioning,47 minutes,57 sec work / 17 sec rest
Farmer Carry - EMOM,Farmer Carry,EMOM,Moderate,Medicine Ball,VO2 Max,48 minutes,58 sec work / 18 sec rest
Farmer Carry - EMOM,Farmer Carry,EMOM,High,Battle Rope,Metabolic Conditioning,49 minutes,59 sec work / 19 sec rest
Farmer Carry - EMOM,Farmer Carry,EMOM,Very High,,Fat Loss,10 minutes,20 sec work / 20 sec rest
